fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,transformer,gradient_bc_groupdro_ppo_stochastic,146,14,0.09589041,0.04589041,0.95868047,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,transformer,gradient_bc_only_stochastic,146,18,0.12328767,0.05547945,0.96623589,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,transformer,ppo_only_stochastic,146,14,0.09589041,0.04205479,0.99588197,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,transformer,random_action,146,13,0.08904110,0.04253425,0.99809522,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,transformer,score_greedy,146,14,0.09589041,0.04575342,0.99912230,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,modern_cnn,bandit_action,361,3,0.00831025,0.00656510,0.99602042,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,modern_cnn,gradient_bc_groupdro_ppo_stochastic,361,17,0.04709141,0.01991690,0.95453533,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,modern_cnn,gradient_bc_only_stochastic,361,16,0.04432133,0.01927978,0.96650783,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,modern_cnn,ppo_only_stochastic,361,15,0.04155125,0.01819945,0.99816783,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,modern_cnn,random_action,361,16,0.04432133,0.01944598,0.99942396,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,modern_cnn,score_greedy,361,15,0.04155125,0.01903047,0.99973785,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,transformer,bandit_action,304,17,0.05592105,0.04009868,0.99359782,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,transformer,gradient_bc_groupdro_ppo_stochastic,304,38,0.12500000,0.05407895,0.95338097,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,transformer,gradient_bc_only_stochastic,304,35,0.11513158,0.05358553,0.96693774,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,transformer,ppo_only_stochastic,304,29,0.09539474,0.04608553,0.99749981,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,transformer,random_action,304,29,0.09539474,0.03957237,0.99943234,50
